Time (s), Altitude (m), Speed (m/s)
1.48, 94.00, 4.26
2.50, 99.60, 6.64
3.50, 107.48, 9.03
4.48, 117.54, 11.42
5.48, 130.26, 13.92
6.46, 145.50, 16.47
7.48, 163.31, 19.07
8.48, 183.76, 21.73
9.46, 206.90, 24.45
10.46, 232.79, 27.23
11.26, 255.51, 29.49
12.14, 282.62, 32.02
13.04, 311.98, 34.60
14.04, 348.13, 37.59
15.02, 387.29, 40.64
16.04, 429.54, 43.75
17.04, 474.93, 46.92
18.02, 523.52, 50.16
18.96, 572.18, 53.26
19.92, 623.79, 56.42
20.90, 681.98, 59.84
21.88, 742.36, 63.27
22.88, 807.46, 66.82
23.90, 876.16, 70.45
24.90, 948.51, 74.14
25.90, 1024.59, 77.90
26.90, 1104.47, 81.74
27.90, 1188.22, 85.64
28.90, 1275.91, 89.61
29.90, 1367.61, 93.66
30.90, 1463.40, 97.78
31.90, 1563.33, 101.96
32.90, 1667.48, 106.20
33.90, 1775.90, 110.49
34.90, 1888.65, 114.85
35.88, 2005.78, 119.26
36.90, 2127.35, 123.75
37.90, 2253.42, 128.31
38.90, 2384.07, 132.94
39.90, 2519.34, 137.66
40.90, 2659.31, 142.45
41.90, 2804.03, 147.33
42.90, 2953.56, 152.30
43.90, 3107.98, 157.35
44.90, 3267.33, 162.49
45.90, 3431.67, 167.73
46.90, 3601.07, 173.06
47.90, 3775.57, 178.49
48.90, 3955.24, 184.01
49.88, 4140.12, 189.64
50.90, 4330.27, 195.38
51.90, 4525.72, 201.22
52.90, 4726.54, 207.18
53.90, 4932.76, 213.25
54.88, 5140.14, 219.31
55.90, 5361.58, 225.74
56.90, 5584.26, 232.17
57.90, 5812.50, 238.72
58.88, 6046.33, 245.41
59.88, 6285.78, 252.23
60.90, 6530.89, 259.19
61.76, 6751.29, 265.43
62.78, 7007.09, 272.65
63.78, 7268.63, 280.02
64.78, 7535.91, 287.53
65.76, 7808.93, 295.18
66.78, 8087.71, 303.00
67.78, 8372.29, 311.01
68.78, 8662.70, 319.22
69.38, 8839.76, 324.23
70.28, 9109.32, 331.89
70.92, 9303.91, 337.42
71.86, 9600.33, 345.85
72.72, 9864.16, 353.37
73.60, 10151.46, 361.58
74.60, 10476.30, 370.88
75.62, 10807.07, 380.39
76.60, 11136.97, 389.90
77.62, 11486.38, 400.01
78.60, 11827.90, 409.93
79.60, 12182.26, 420.27
80.56, 12528.03, 430.39
81.52, 12886.62, 440.94
82.52, 13250.91, 451.70
83.46, 13605.66, 462.22
84.46, 13988.79, 473.63
85.46, 14377.82, 485.27
86.48, 14780.70, 497.38
87.44, 15165.46, 509.00
88.46, 15580.20, 521.58
89.44, 15984.41, 533.90
90.44, 16411.08, 546.96
91.46, 16835.26, 560.00
92.44, 17265.24, 573.27
93.46, 17701.01, 586.78
94.46, 18142.54, 600.52
95.46, 18589.82, 614.50
96.44, 19033.70, 628.43
97.44, 19501.52, 643.17
98.46, 19965.90, 657.86
99.44, 20426.49, 672.49
100.46, 20911.65, 687.96
101.46, 21392.97, 703.37
102.44, 21870.12, 718.72
103.44, 22362.55, 734.62
104.46, 22870.59, 751.09
105.34, 23323.69, 765.84
106.36, 23832.42, 782.47
107.22, 24274.39, 796.97
107.76, 24554.01, 806.17
108.74, 25076.11, 823.41
109.70, 25571.96, 839.84
110.66, 26094.15, 857.22
111.32, 26448.85, 869.06
112.28, 26969.11, 886.48
113.06, 27395.61, 900.82
113.46, 27615.66, 908.23
114.44, 28158.56, 926.58
115.16, 28560.86, 940.22
115.92, 28988.69, 954.77
116.90, 29545.19, 973.75
117.84, 30084.10, 992.21
118.68, 30569.95, 1008.91
119.40, 30989.61, 1023.38
120.36, 31553.82, 1042.89
121.36, 32147.21, 1063.49
122.32, 32722.28, 1083.51
123.30, 33314.74, 1104.22
124.28, 33912.58, 1125.18
125.28, 34515.71, 1146.41
126.26, 35136.46, 1168.34
127.28, 35762.43, 1190.54
128.22, 36368.10, 1212.12
129.22, 36990.97, 1234.40
130.22, 37643.95, 1257.86
131.22, 38288.49, 1281.14
132.20, 38924.04, 1304.21
133.22, 39576.22, 1328.00
133.86, 40009.45, 1332.22
134.88, 40659.90, 1336.55
135.86, 41307.10, 1340.94
136.88, 41950.96, 1345.37
137.88, 42591.42, 1349.86
138.86, 43228.40, 1354.39
139.82, 43823.95, 1358.71
140.76, 44416.36, 1363.07
141.74, 45030.60, 1367.67
142.74, 45653.78, 1372.42
143.72, 46260.95, 1377.14
144.72, 46876.87, 1382.01
145.74, 47501.30, 1387.04
146.74, 48109.71, 1392.02
147.72, 48702.33, 1396.97
148.74, 49315.30, 1402.18
149.72, 49900.52, 1407.25
150.74, 50505.75, 1412.58
151.72, 51083.51, 1417.76
152.72, 51669.27, 1423.11
153.72, 52251.18, 1428.51
154.72, 52829.24, 1433.98
155.72, 53403.42, 1439.51
156.72, 53973.72, 1445.09
157.74, 54551.42, 1450.86
158.74, 55113.84, 1456.56
159.74, 55672.34, 1462.33
